N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42,42,20.13017482,81.60487308,7.628472891,262.7173405,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0550003,rice
70,40,40,22.70883798,82.63941394,5.700805678,271.3248601,rice
79,40,42,24.14785808,85.23272252,6.303453785,242.239735,rice
86,45,42,21.91340333,80.98747735,6.737305146,260.4382034,rice
75,37,39,24.00674889,80.21294963,5.773723129,255.156385,rice
87,43,41,21.66793498,81.84522329,5.789213655,242.2937283,rice
91,41,41,23.04788838,83.08098091,5.634613664,246.873786,rice
78,44,42,24.82521766,80.92269647,6.726953599,251.3650996,rice
83,42,39,25.47111174,86.84576022,6.767133056,248.7954202,rice
72,39,37,25.5306979,82.25855471,5.85888771,250.3622519,rice
80,44,42,23.14820412,80.04345157,6.491063947,253.3839451,rice
88,43,41,23.34526729,80.29803326,5.896851852,256.6526896,rice
79,42,40,26.84868239,81.90534497,6.047165256,258.5789316,rice
86,40,42,24.4639525,85.98411476,5.935807177,246.0901243,rice
82,43,39,23.30395629,82.73199968,5.850393893,267.1572061,rice
86,42,40,20.39322359,82.47775286,6.497318748,217.5912685,rice
77,41,44,23.84221569,80.19328574,6.876033234,229.837744,rice
83,37,39,26.31179118,81.22143549,6.749539316,236.4489684,rice
84,40,40,24.84695591,82.79620918,5.935683439,252.4855546,rice
79,44,41,25.79404891,83.75858238,5.693996433,256.1428865,rice
81,42,38,20.20323366,82.11239092,6.194727056,244.4281262,rice
91,42,42,26.59971336,81.00309929,6.214755354,269.0397302,rice
86,44,42,23.84575603,80.76040869,6.201205406,263.1600583,rice
78,41,40,24.20788705,82.30714194,6.388924639,270.9008227,rice
